RNA.1	RNA.2	RNA.3	RNA.4	RNA.8	RNA.11	RNA.12	RNA.15	RNA.16	RNA.17	RNA.19	RNA.20
Xkr4	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	1.34285714285714	2	1	1	1	2	1	0	2	1.5	0.7	5
Lypla1	0.342857142857143	0	0	0	0	0	1	0.5	0	0.5	0	0
Gm37988	0	0	0	0	0	0	0	0	0	0	0	0
Tcea1	1.17142857142857	0.333333333333333	0	1	1.5	1	2	0	1	0.5	0.5	1
Rgs20	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	0.314285714285714	0	0	0	0.5	1	0	0	2	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	0.514285714285714	0.333333333333333	0	0	1	0	0	1.5	1	1.5	0.3	0
4732440D04Rik	0	0	0	0	0	0	0	0	0	0.5	0	0
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0
St18	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	0.228571428571429	0.333333333333333	0	0	1	0	0	0	0	0	0.3	0
Gm26901	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	0.171428571428571	0.333333333333333	0	0	0	1	0	0	0	0	0.1	1
Adhfe1	0	0	0	0	0	0	0	0	0	0	0	0
3110035E14Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	0	0	0	0	0	0	0	0	0	0
Vcpip1	0.2	0	0	0	0.5	0	0	0	0	0.5	0.6	0
1700034P13Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sgk3	0.0285714285714286	0	0	0	0	0	0	0	1	0	0.1	0
Mcmdc2	0	0	0	0	0	0	0	0	0	0	0	0
Snhg6	0.342857142857143	0.333333333333333	0	0	1	2	0	0	0	0.5	0.5	1
Tcf24	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	0	0	0	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	0.914285714285714	0	1	0	1.5	2	3	0.5	1	1	0.6	4
Cspp1	0.428571428571429	0	0	0	0	0	1	0	0	0	0.3	0
Arfgef1	0.457142857142857	0	1	0	0.5	0	1	0	1	0	0.9	2
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0.0571428571428571	0.333333333333333	0	0	1	0	0	0	0	0	0.2	0
A830018L16Rik	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0.342857142857143	0.333333333333333	0.5	0	1	0	0	0	0	0.5	0.2	0
Slco5a1	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	0.171428571428571	0.666666666666667	0	0	0	2	1	0	1	0	0.3	0
Gm29570	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	0.4	0.333333333333333	0	0	1.5	0	0	0	0	0	0	1
Lactb2	0.2	0	0	1	0	0	0	0	0	0.5	0	0
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	0.171428571428571	0	0	0	0	0	1	0	0	0.5	0.3	0
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	17.3428571428571	9.66666666666667	8	14	20.5	9	12	7	17	9.5	12.5	31
Rdh10	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Gm28095	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	0.2	0	0	0	0.5	0	0	0	0	0	0.1	0
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	0.314285714285714	0.333333333333333	0	1	0	0	0	0.5	0	0.5	0.9	0
Eloc	1.25714285714286	0.333333333333333	0.5	1	1	1	1	0.5	0	0.5	1.1	4
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0
Tmem70	0.342857142857143	0.333333333333333	0.5	0	0	0	0	0.5	0	0	0.1	0
Ly96	0	0	0	0	0	0	0	0	0	0	0	0
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	0	0	0	0	0	0	0
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm28154	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	0.6	0	0	0	0	0	0	0	0	0	0.1	1
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Tram2	0.142857142857143	0.333333333333333	0	0	0	0	0	1	0	0	0.1	0
Gm28287	0	0	0	0	0	0	0	0	0	0	0	0
Tmem14a	0.257142857142857	0	0.5	0	0	0	0	0	0	0	0.2	1
Gsta3	0	0	0	0	0	0	0	0	0	0	0.1	0
Gm28836	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm27028	0	0	0	0	0	0	0	0	0	0	0	0
Gm29107	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	0.0285714285714286	0	0	0	0	0	0	0	0	0.5	0.1	0
